iter	RMSE
0	0.8007590243
1	0.7429103829
2	0.6920859202
3	0.6527507768
4	0.6097201189
5	0.5740408066
6	0.5420545777
7	0.5143445679
8	0.4886901259
9	0.4669728404110	0.4479625349111	0.4308674634112	0.4156833661113	0.4023260801114	0.3958614611515	0.3853654881116	0.3766460781717	0.369461065118	0.3596904588119	0.3541108692220	0.3490148759221	0.344149084
22	0.3401195322
23	0.3364549091
24	0.3329737465225	0.3296307419226	0.3272483813227	0.324783071
28	0.3222627322
29	0.3204435698
30	0.3180154226
31	0.316216661
32	0.3147726381
33	0.3136490486
34	0.3118987055
35	0.3106860715
36	0.309314269
37	0.3079182836
38	0.306386749
39	0.3055649722
40	0.3044914669
41	0.3035294069
42	0.3025848334
43	0.3013271611
44	0.3007809017
45	0.2997881593
46	0.2986640575
47	0.2976993125
48	0.2969259143
49	0.2962098168
50	0.2951325603
51	0.2942434538
52	0.2933202942
53	0.292456526
54	0.2916683552
55	0.2911097576
56	0.290017152
57	0.2894240422
58	0.2888361711
59	0.2882457793
60	0.2874219044
61	0.2870736529662	0.286764839766363	0.2796092346464	0.2793091586565	0.2786310576666	0.2781237376767	0.2773084246868	0.2770649356969	0.2765088227070	0.2756998147171	0.2752082107272	0.274649707773	0.2738505975774	0.2735323116775	0.2733581391776	0.2726287078777	0.272108408778	0.2761618574
79	0.2757748324
80	0.2753285825
81	0.2743254261
82	0.2739139533
83	0.2735903036
84	0.2728854686
85	0.2724816588
86	0.2721285696887	0.2714395908888	0.2709658662889	0.270717457790	0.2650786176
91	0.2646675943
92	0.2638252764
93	0.2635423318
94	0.2632770858
95	0.2627076204
96	0.2621955765
97	0.2613756174
98	0.260922827
99	0.2605789175
100	0.2601035827
101	0.2597753384
102	0.2593319799
103	0.2590396837
104	0.2584990298
105	0.2579980918
106	0.2572728857
107	0.256898189
108	0.2565380542
109	0.2560934994
110	0.2556683597
111	0.2551034317
112	0.2547942986
113	0.2543904322
114	0.2540809475
115	0.2537377064
116	0.2529962322
117	0.2525826404
118	0.2521473711
119	0.2515916176
120	0.2512056967
121	0.2509875795
122	0.2507042272
123	0.2502791937
124	0.2497490902
125	0.2492644908
126	0.2489506222
127	0.248508783
128	0.2479281498
129	0.2476321841
130	0.2473053916
131	0.2468730393
132	0.2464182228
133	0.2457263918
134	0.2453827056
135	0.2449053095
136	0.2447244513
137	0.2443573106
138	0.2441995399
139	0.2439575015
140	0.243579369
141	0.2430914782
142	0.24280352
143	0.2425074353
144	0.2422456066
145	0.2419210659
146	0.2415593844
147	0.2412857363
148	0.2411486054
149	0.2410029042
150	0.2406315508
151	0.2402743025
152	0.2399567717
153	0.2395604715
154	0.2391433878
155	0.2386742915
156	0.2385190142
157	0.2380149331
158	0.2374598861
159	0.2371197743
160	0.236659134
161	0.2362983498
162	0.2356996399
163	0.235456927
164	0.2351950943
165	0.2346723302
166	0.2341675983
167	0.2337506119
168	0.2330876552
169	0.2328831641
170	0.2324814235
171	0.2322611424
172	0.2319684749
173	0.2314920342
174	0.2312804241
175	0.2308467995
176	0.2305024913
177	0.2301057696
178	0.2299322933
179	0.2297954796
180	0.2293346428
181	0.2289392225
182	0.2285122402
183	0.2281364929
184	0.2279341
185	0.2277054592
186	0.2273523651
187	0.2266138328
188	0.2262563838
189	0.2258580647
190	0.2256497032
191	0.225487096
192	0.225309115
193	0.2250478726
194	0.2248217466
195	0.2247150697
196	0.2244807103
197	0.2241721788
198	0.2238511923
199	0.2235069876
82865
